Taille_mat;run_ID;time
63;1;0.010395
63;2;0.010723
63;3;0.010668
63;4;0.010658
63;5;0.010002
63;6;0.010235
63;7;0.007529
63;8;0.009868
63;9;0.008937
63;10;0.009452
63;11;0.009813
63;12;0.008753
63;13;0.009678
63;14;0.010643
63;15;0.009836
63;16;0.010024
63;17;0.009575
63;18;0.009833
63;19;0.009839
63;20;0.010663
63;21;0.010699
63;22;0.010656
63;23;0.010068
63;24;0.008693
63;25;0.008975
63;26;0.009453
63;27;0.009829
63;28;0.010079
63;29;0.008923
63;30;0.010691
63;31;0.008886
63;32;0.010701
63;33;0.010042
63;34;0.007524
63;35;0.008569
63;36;0.009474
63;37;0.00963
63;38;0.008264
63;39;0.008445
63;40;0.009163
63;41;0.009851
63;42;0.01065
63;43;0.0071
63;44;0.009577
63;45;0.008582
63;46;0.008545
63;47;0.009022
63;48;0.009867
63;49;0.010697
63;50;0.010643
63;51;0.010623
63;52;0.010617
63;53;0.010608
63;54;0.010598
63;55;0.010581
63;56;0.010581
63;57;0.010591
63;58;0.010589
63;59;0.010593
63;60;0.010587
63;61;0.010586
63;62;0.010587
63;63;0.010589
63;64;0.01059
63;65;0.010589
63;66;0.010581
63;67;0.010574
63;68;0.010577
63;69;0.010576
63;70;0.01058
63;71;0.010584
63;72;0.010583
63;73;0.010594
63;74;0.010593
63;75;0.01058
63;76;0.010659
63;77;0.010666
63;78;0.010679
63;79;0.010431
63;80;0.0105
63;81;0.010658
63;82;0.010683
63;83;0.009439
63;84;0.010074
63;85;0.009651
63;86;0.009431
63;87;0.009048
63;88;0.009964
63;89;0.009688
63;90;0.010015
63;91;0.0108
63;92;0.010073
63;93;0.010269
63;94;0.009836
63;95;0.009075
63;96;0.010633
63;97;0.010661
63;98;0.010656
63;99;0.007099
63;100;0.009606
63;101;0.009819
63;102;0.009495
63;103;0.008637
63;104;0.008144
63;105;0.010661
63;106;0.00972
63;107;0.010675
63;108;0.010648
63;109;0.010654
63;110;0.009542
63;111;0.009993
63;112;0.010661
63;113;0.007378
63;114;0.008443
63;115;0.010039
63;116;0.009871
63;117;0.008357
63;118;0.009691
63;119;0.01066
63;120;0.008827
63;121;0.00999
63;122;0.010702
63;123;0.010681
63;124;0.010679
63;125;0.010677
63;126;0.010664
63;127;0.010642
63;128;0.010653
64;1;0.011033
64;2;0.010886
64;3;0.0108
64;4;0.010747
64;5;0.010538
64;6;0.009199
64;7;0.011076
64;8;0.010848
64;9;0.010762
64;10;0.010788
64;11;0.010025
64;12;0.008485
64;13;0.011171
64;14;0.01113
64;15;0.011192
64;16;0.010956
64;17;0.009503
64;18;0.010168
64;19;0.011176
64;20;0.010101
64;21;0.008281
64;22;0.010791
64;23;0.010738
64;24;0.011106
64;25;0.011146
64;26;0.011171
64;27;0.00999
64;28;0.011133
64;29;0.011122
64;30;0.010002
64;31;0.011127
64;32;0.011002
64;33;0.007465
64;34;0.010637
64;35;0.011134
64;36;0.008176
64;37;0.008507
64;38;0.009184
64;39;0.008495
64;40;0.009093
64;41;0.009945
64;42;0.00925
64;43;0.009374
64;44;0.010163
64;45;0.010261
64;46;0.010901
64;47;0.007434
64;48;0.009236
64;49;0.009737
64;50;0.009322
64;51;0.009481
64;52;0.009272
64;53;0.010216
64;54;0.009318
64;55;0.009473
64;56;0.010325
64;57;0.01116
64;58;0.011106
64;59;0.010581
64;60;0.011247
64;61;0.007628
64;62;0.010081
64;63;0.011191
64;64;0.008576
64;65;0.009207
64;66;0.009667
64;67;0.009301
64;68;0.009478
64;69;0.009283
64;70;0.009777
64;71;0.011227
64;72;0.009961
64;73;0.010095
64;74;0.011144
64;75;0.010018
64;76;0.007439
64;77;0.007416
64;78;0.009792
64;79;0.0084
64;80;0.008908
64;81;0.007425
64;82;0.008473
64;83;0.009189
64;84;0.009609
64;85;0.009939
64;86;0.010147
64;87;0.009504
64;88;0.010657
64;89;0.010249
64;90;0.010702
64;91;0.010639
64;92;0.010615
64;93;0.010761
64;94;0.010522
64;95;0.010555
64;96;0.009236
64;97;0.010965
64;98;0.010815
64;99;0.010737
64;100;0.010701
64;101;0.010151
64;102;0.010246
64;103;0.00977
64;104;0.010147
64;105;0.011094
64;106;0.011048
64;107;0.010872
64;108;0.009665
64;109;0.011056
64;110;0.010887
64;111;0.010811
64;112;0.009372
64;113;0.011116
64;114;0.009178
64;115;0.011147
64;116;0.009726
64;117;0.010125
64;118;0.011156
64;119;0.011153
64;120;0.010181
64;121;0.011159
64;122;0.009235
64;123;0.011163
64;124;0.009821
64;125;0.010281
64;126;0.009953
64;127;0.010102
64;128;0.011153
65;1;0.011668
65;2;0.011324
65;3;0.00997
65;4;0.00997
65;5;0.011471
65;6;0.011262
65;7;0.007876
65;8;0.007779
65;9;0.011518
65;10;0.007759
65;11;0.010767
65;12;0.010366
65;13;0.010866
65;14;0.010719
65;15;0.009337
65;16;0.009741
65;17;0.010033
65;18;0.009754
65;19;0.010469
65;20;0.009708
65;21;0.01105
65;22;0.009378
65;23;0.009767
65;24;0.011429
65;25;0.011124
65;26;0.010402
65;27;0.01044
65;28;0.009359
65;29;0.009797
65;30;0.011549
65;31;0.011221
65;32;0.011012
65;33;0.010477
65;34;0.008087
65;35;0.011623
65;36;0.010499
65;37;0.010506
65;38;0.011425
65;39;0.009747
65;40;0.011451
65;41;0.01111
65;42;0.010926
65;43;0.010808
65;44;0.009669
65;45;0.01102
65;46;0.0104
65;47;0.00871
65;48;0.010586
65;49;0.011527
65;50;0.010395
65;51;0.011249
65;52;0.011071
65;53;0.010835
65;54;0.009411
65;55;0.011177
65;56;0.009599
65;57;0.010775
65;58;0.011173
65;59;0.010947
65;60;0.010369
65;61;0.010439
65;62;0.009604
65;63;0.010779
65;64;0.009732
65;65;0.008968
65;66;0.011639
65;67;0.010179
65;68;0.011631
65;69;0.011388
65;70;0.011019
65;71;0.009548
65;72;0.010171
65;73;0.011351
65;74;0.011056
65;75;0.01089
65;76;0.009705
65;77;0.010135
65;78;0.010826
65;79;0.011183
65;80;0.01095
65;81;0.010369
65;82;0.010405
65;83;0.010907
65;84;0.010785
65;85;0.010311
65;86;0.010815
65;87;0.010758
65;88;0.010639
65;89;0.009275
65;90;0.009713
65;91;0.009603
65;92;0.009726
65;93;0.009785
65;94;0.011647
65;95;0.011655
65;96;0.011003
65;97;0.010431
65;98;0.00874
65;99;0.011648
65;100;0.011652
65;101;0.009994
65;102;0.011501
65;103;0.009736
65;104;0.011506
65;105;0.011125
65;106;0.010946
65;107;0.010011
65;108;0.011127
65;109;0.01033
65;110;0.008661
65;111;0.010564
65;112;0.009662
65;113;0.011653
65;114;0.011432
65;115;0.011168
65;116;0.011029
65;117;0.010778
65;118;0.0103
65;119;0.010766
65;120;0.010711
65;121;0.009351
65;122;0.009733
65;123;0.009609
65;124;0.009737
65;125;0.009809
65;126;0.010513
65;127;0.010533
65;128;0.01055
66;1;0.012181
66;2;0.011704
66;3;0.01131
66;4;0.009508
66;5;0.010173
66;6;0.010194
66;7;0.010002
66;8;0.008962
66;9;0.012182
66;10;0.01191
66;11;0.010173
66;12;0.010363
66;13;0.011662
66;14;0.010866
66;15;0.01144
66;16;0.010256
66;17;0.010962
66;18;0.010775
66;19;0.010667
66;20;0.009309
66;21;0.009731
66;22;0.01085
66;23;0.009757
66;24;0.011514
66;25;0.010437
66;26;0.010471
66;27;0.009769
66;28;0.009762
66;29;0.010055
66;30;0.009003
66;31;0.011356
66;32;0.010636
66;33;0.012177
66;34;0.010412
66;35;0.011746
66;36;0.011344
66;37;0.011163
66;38;0.009589
66;39;0.010175
66;40;0.009771
66;41;0.011695
66;42;0.01132
66;43;0.011198
66;44;0.009477
66;45;0.01143
66;46;0.011069
66;47;0.008544
66;48;0.008217
66;49;0.008113
66;50;0.012205
66;51;0.011441
66;52;0.012199
66;53;0.010416
66;54;0.008131
66;55;0.010891
66;56;0.011326
66;57;0.012161
66;58;0.011707
66;59;0.011324
66;60;0.011061
66;61;0.010893
66;62;0.01074
66;63;0.010659
66;64;0.009279
66;65;0.011045
66;66;0.010604
66;67;0.010817
66;68;0.011082
66;69;0.010905
66;70;0.010387
66;71;0.010438
66;72;0.01221
66;73;0.01107
66;74;0.009747
66;75;0.010006
66;76;0.009332
66;77;0.011256
66;78;0.010178
66;79;0.010502
66;80;0.010378
66;81;0.010585
66;82;0.010605
66;83;0.010043
66;84;0.010058
66;85;0.01092
66;86;0.010706
66;87;0.010639
66;88;0.009264
66;89;0.011041
66;90;0.009559
66;91;0.010796
66;92;0.011102
66;93;0.011468
66;94;0.010559
66;95;0.009232
66;96;0.011021
66;97;0.011365
66;98;0.010544
66;99;0.010514
66;100;0.012201
66;101;0.011042
66;102;0.010909
66;103;0.009774
66;104;0.010031
66;105;0.010212
66;106;0.010823
66;107;0.008639
66;108;0.011396
66;109;0.010222
66;110;0.009372
66;111;0.00978
66;112;0.009758
66;113;0.01171
66;114;0.011334
66;115;0.010074
66;116;0.009899
66;117;0.011696
66;118;0.011037
66;119;0.009551
66;120;0.008142
66;121;0.0111
66;122;0.011858
66;123;0.011442
66;124;0.010428
66;125;0.011142
66;126;0.010948
66;127;0.011023
66;128;0.010616
