Taille_mat;Run_ID;Time
64;1;0.006436
64;2;0.005762
64;3;0.00601
64;4;0.005793
64;5;0.005673
64;6;0.007733
64;7;0.007637
64;8;0.008547
64;9;0.008507
64;10;0.008698
64;11;0.008511
64;12;0.006755
64;13;0.007889
64;14;0.006813
64;15;0.008384
64;16;0.008496
64;17;0.00704
64;18;0.008063
64;19;0.008508
64;20;0.008037
64;21;0.008523
64;22;0.00852
64;23;0.008545
64;24;0.006523
64;25;0.006005
64;26;0.008517
64;27;0.007077
64;28;0.00771
64;29;0.008502
64;30;0.008508
68;1;0.007679
68;2;0.007093
68;3;0.006844
68;4;0.006849
68;5;0.006837
68;6;0.006841
68;7;0.009727
68;8;0.008202
68;9;0.009443
68;10;0.008658
68;11;0.010257
68;12;0.009413
68;13;0.007231
68;14;0.006933
68;15;0.009894
68;16;0.009408
68;17;0.009365
68;18;0.007972
68;19;0.010247
68;20;0.007498
68;21;0.007043
68;22;0.006829
68;23;0.00937
68;24;0.010238
68;25;0.010231
68;26;0.010234
68;27;0.006908
68;28;0.00917
68;29;0.007844
68;30;0.006838
72;1;0.008067
72;2;0.008546
72;3;0.011256
72;4;0.00806
72;5;0.010647
72;6;0.011181
72;7;0.012123
72;8;0.011649
72;9;0.009079
72;10;0.008085
72;11;0.011218
72;12;0.011875
72;13;0.008543
72;14;0.010944
72;15;0.01173
72;16;0.009076
72;17;0.010643
72;18;0.011491
72;19;0.011163
72;20;0.010479
72;21;0.008079
72;22;0.008082
72;23;0.011981
72;24;0.010915
72;25;0.008068
72;26;0.008073
72;27;0.008074
72;28;0.008083
72;29;0.01107
72;30;0.009783
76;1;0.009466
76;2;0.012621
76;3;0.011917
76;4;0.014033
76;5;0.012703
76;6;0.01241
76;7;0.010016
76;8;0.009468
76;9;0.012564
76;10;0.010597
76;11;0.011951
76;12;0.009771
76;13;0.013223
76;14;0.009453
76;15;0.01324
76;16;0.012277
76;17;0.012533
76;18;0.010572
76;19;0.009455
76;20;0.010719
76;21;0.012602
76;22;0.012519
76;23;0.011911
76;24;0.009462
76;25;0.012387
76;26;0.012271
76;27;0.012816
76;28;0.012723
76;29;0.013282
76;30;0.012051
80;1;0.012554
80;2;0.011042
80;3;0.011045
80;4;0.011045
80;5;0.011039
80;6;0.014804
80;7;0.014541
80;8;0.015003
80;9;0.011034
80;10;0.011038
80;11;0.014759
80;12;0.011549
80;13;0.015534
80;14;0.013668
80;15;0.01243
80;16;0.011082
80;17;0.015528
80;18;0.014522
80;19;0.014189
80;20;0.014668
80;21;0.015129
80;22;0.015541
80;23;0.011461
80;24;0.014503
80;25;0.015702
80;26;0.01371
80;27;0.012476
80;28;0.015626
80;29;0.011038
80;30;0.013522
84;1;0.016226
84;2;0.016449
84;3;0.015932
84;4;0.016793
84;5;0.017195
84;6;0.013035
84;7;0.012728
84;8;0.016134
84;9;0.014485
84;10;0.015237
84;11;0.012716
84;12;0.014486
84;13;0.016458
84;14;0.0127
84;15;0.016906
84;16;0.015898
84;17;0.012706
84;18;0.012703
84;19;0.016306
84;20;0.012711
84;21;0.012715
84;22;0.016878
84;23;0.014257
84;24;0.015867
84;25;0.014861
84;26;0.016221
84;27;0.016709
84;28;0.016072
84;29;0.016454
84;30;0.016129
88;1;0.018578
88;2;0.018292
88;3;0.018099
88;4;0.019349
88;5;0.01463
88;6;0.018723
88;7;0.018401
88;8;0.018225
88;9;0.01809
88;10;0.018024
88;11;0.01863
88;12;0.017676
88;13;0.019088
88;14;0.018635
88;15;0.017011
88;16;0.01861
88;17;0.014606
88;18;0.018678
88;19;0.019309
88;20;0.014611
88;21;0.017899
88;22;0.01465
88;23;0.018918
88;24;0.015601
88;25;0.016205
88;26;0.019377
88;27;0.018892
88;28;0.016723
88;29;0.018071
88;30;0.014722
92;1;0.020824
92;2;0.019964
92;3;0.016813
92;4;0.02094
92;5;0.019871
92;6;0.021098
92;7;0.020094
92;8;0.021057
92;9;0.02076
92;10;0.020553
92;11;0.021453
92;12;0.020207
92;13;0.020661
92;14;0.016688
92;15;0.016656
92;16;0.016679
92;17;0.016664
92;18;0.016656
92;19;0.016667
92;20;0.016665
92;21;0.016686
92;22;0.021225
92;23;0.020822
92;24;0.020341
92;25;0.016673
92;26;0.016664
92;27;0.017824
92;28;0.01914
92;29;0.021277
92;30;0.020171
96;1;0.022502
96;2;0.023541
96;3;0.018923
96;4;0.021298
96;5;0.022871
96;6;0.01895
96;7;0.019012
96;8;0.018983
96;9;0.019013
96;10;0.018928
96;11;0.019669
96;12;0.02035
96;13;0.022759
96;14;0.020168
96;15;0.020843
96;16;0.02312
96;17;0.02041
96;18;0.018921
96;19;0.022127
96;20;0.021947
96;21;0.022594
96;22;0.018965
96;23;0.022561
96;24;0.022365
96;25;0.018967
96;26;0.019001
96;27;0.018974
96;28;0.021236
96;29;0.021337
96;30;0.023439
100;1;0.022092
100;2;0.02142
100;3;0.023172
100;4;0.021437
100;5;0.025551
100;6;0.025964
100;7;0.02142
100;8;0.021418
100;9;0.025833
100;10;0.0251
100;11;0.021427
100;12;0.024781
100;13;0.025011
100;14;0.02141
100;15;0.021425
100;16;0.021429
100;17;0.021423
100;18;0.025433
100;19;0.023469
100;20;0.025499
100;21;0.026186
100;22;0.022644
100;23;0.023571
100;24;0.02293
100;25;0.021429
100;26;0.02276
100;27;0.02425
100;28;0.026001
100;29;0.021423
100;30;0.024059
104;1;0.028116
104;2;0.024025
104;3;0.027894
104;4;0.027097
104;5;0.027862
104;6;0.027065
104;7;0.027855
104;8;0.02773
104;9;0.028288
104;10;0.024014
104;11;0.027342
104;12;0.02535
104;13;0.024033
104;14;0.027393
104;15;0.025426
104;16;0.024033
104;17;0.024026
104;18;0.024031
104;19;0.024027
104;20;0.024032
104;21;0.024017
104;22;0.02402
104;23;0.024032
104;24;0.024027
104;25;0.024025
104;26;0.024029
104;27;0.02402
104;28;0.024032
104;29;0.024024
104;30;0.024033
108;1;0.027716
108;2;0.027019
108;3;0.031255
108;4;0.030639
108;5;0.027031
108;6;0.027023
108;7;0.030832
108;8;0.028354
108;9;0.02704
108;10;0.028328
108;11;0.030669
108;12;0.030873
108;13;0.027701
108;14;0.029563
108;15;0.029593
108;16;0.028146
108;17;0.027029
108;18;0.028164
108;19;0.029871
108;20;0.030337
108;21;0.031981
108;22;0.028477
108;23;0.026998
108;24;0.028611
108;25;0.027121
108;26;0.028276
108;27;0.029964
108;28;0.031111
108;29;0.027812
108;30;0.030341
112;1;0.033831
112;2;0.029961
112;3;0.029945
112;4;0.029955
112;5;0.029946
112;6;0.029946
112;7;0.031588
112;8;0.03226
112;9;0.029971
112;10;0.030069
112;11;0.030076
112;12;0.032347
112;13;0.032691
112;14;0.029949
112;15;0.0342
112;16;0.029935
112;17;0.031306
112;18;0.031854
112;19;0.032295
112;20;0.029962
112;21;0.029936
112;22;0.029963
112;23;0.029969
112;24;0.029955
112;25;0.029951
112;26;0.032523
112;27;0.031468
112;28;0.029939
112;29;0.029936
112;30;0.02995
116;1;0.033938
116;2;0.033242
116;3;0.033259
116;4;0.036695
116;5;0.034281
116;6;0.035129
116;7;0.037168
116;8;0.035756
116;9;0.036225
116;10;0.036538
116;11;0.034171
116;12;0.033367
116;13;0.033834
116;14;0.036302
116;15;0.03656
116;16;0.034093
116;17;0.035089
116;18;0.034409
116;19;0.033998
116;20;0.033256
116;21;0.033217
116;22;0.034099
116;23;0.037775
116;24;0.036465
116;25;0.033397
116;26;0.035271
116;27;0.037221
116;28;0.037186
116;29;0.033291
116;30;0.033254
120;1;0.036922
120;2;0.036948
120;3;0.036925
120;4;0.040291
120;5;0.03692
120;6;0.04105
120;7;0.040154
120;8;0.039785
120;9;0.040168
120;10;0.036948
120;11;0.038078
120;12;0.039025
120;13;0.036867
120;14;0.041341
120;15;0.038377
120;16;0.036885
120;17;0.036905
120;18;0.040214
120;19;0.040974
120;20;0.036879
120;21;0.036877
120;22;0.036903
120;23;0.036903
120;24;0.036959
120;25;0.036889
120;26;0.036894
120;27;0.038525
120;28;0.04053
120;29;0.038047
120;30;0.036885
124;1;0.042556
124;2;0.04333
124;3;0.043904
124;4;0.044164
124;5;0.043818
124;6;0.044857
124;7;0.040575
124;8;0.040583
124;9;0.040602
124;10;0.040577
124;11;0.040586
124;12;0.041514
124;13;0.043853
124;14;0.040585
124;15;0.040588
124;16;0.040575
124;17;0.04059
124;18;0.041672
124;19;0.042763
124;20;0.043502
124;21;0.040551
124;22;0.04058
124;23;0.040606
124;24;0.043753
124;25;0.041675
124;26;0.040666
124;27;0.044204
124;28;0.04059
124;29;0.040635
124;30;0.0406
128;1;0.045207
128;2;0.045373
128;3;0.045188
128;4;0.048985
128;5;0.047714
128;6;0.046628
128;7;0.044635
128;8;0.044615
128;9;0.044627
128;10;0.044574
128;11;0.044613
128;12;0.04462
128;13;0.044601
128;14;0.044603
128;15;0.04461
128;16;0.04912
128;17;0.047542
128;18;0.046546
128;19;0.045932
128;20;0.045519
128;21;0.045307
128;22;0.045069
128;23;0.048325
128;24;0.047845
128;25;0.046734
128;26;0.044607
128;27;0.046469
128;28;0.045946
128;29;0.04553
128;30;0.045433
132;1;0.052761
132;2;0.048865
132;3;0.048875
132;4;0.051834
132;5;0.049409
132;6;0.051842
132;7;0.048838
132;8;0.0523
132;9;0.049788
132;10;0.050712
132;11;0.048853
132;12;0.048858
132;13;0.048881
132;14;0.048839
132;15;0.049601
132;16;0.051955
132;17;0.048827
132;18;0.052425
132;19;0.049823
132;20;0.05209
132;21;0.049693
132;22;0.051934
132;23;0.049731
132;24;0.049034
132;25;0.050612
132;26;0.052634
132;27;0.049971
132;28;0.052393
132;29;0.049606
132;30;0.048906
136;1;0.056287
136;2;0.054793
136;3;0.05567
136;4;0.055572
136;5;0.055806
136;6;0.056505
136;7;0.056515
136;8;0.056488
136;9;0.053461
136;10;0.053845
136;11;0.054765
136;12;0.05532
136;13;0.055667
136;14;0.055989
136;15;0.05617
136;16;0.056253
136;17;0.056396
136;18;0.05639
136;19;0.056422
136;20;0.056512
136;21;0.056472
136;22;0.053398
136;23;0.05389
136;24;0.054723
136;25;0.055276
136;26;0.055685
136;27;0.055517
136;28;0.056336
136;29;0.05642
136;30;0.056445
140;1;0.061884
140;2;0.059418
140;3;0.062357
140;4;0.060303
140;5;0.059048
140;6;0.062256
140;7;0.060193
140;8;0.061619
140;9;0.061151
140;10;0.058595
140;11;0.059183
140;12;0.062213
140;13;0.058632
140;14;0.058577
140;15;0.058567
140;16;0.058626
140;17;0.058582
140;18;0.058516
140;19;0.061867
140;20;0.060041
140;21;0.063005
140;22;0.060668
140;23;0.059315
140;24;0.062126
140;25;0.060299
140;26;0.062995
140;27;0.058549
140;28;0.06061
140;29;0.058925
140;30;0.062149
144;1;0.064576
144;2;0.063425
144;3;0.063989
144;4;0.067179
144;5;0.065446
144;6;0.063446
144;7;0.064419
144;8;0.065708
144;9;0.063406
144;10;0.0635
144;11;0.063344
144;12;0.063417
144;13;0.063454
144;14;0.063418
144;15;0.066338
144;16;0.066908
144;17;0.067326
144;18;0.063868
144;19;0.065196
144;20;0.066279
144;21;0.066873
144;22;0.067216
144;23;0.067618
144;24;0.063936
144;25;0.063448
144;26;0.066687
144;27;0.063439
144;28;0.06579
144;29;0.067313
144;30;0.066965
148;1;0.069336
148;2;0.072397
148;3;0.068896
148;4;0.070797
148;5;0.069876
