Taille_mat;Run_ID;Nb_threads;Time
1500;1;2;77.3592
1500;1;3;51.488
1500;1;4;38.9389
1500;1;5;31.4409
1500;1;6;26.3677
1500;1;7;23.0067
1500;1;8;19.9598
1500;1;9;20.9621
1500;1;10;19.3129
1500;1;11;18.8738
1500;1;12;18.903
1500;1;13;18.7082
1500;1;14;18.3082
1500;1;15;18.1955
1500;1;16;17.9039
